,index,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,id
1,10,0.05233801179565489,0.08730322495102882,0.07569719129242003,0.03534533106721938,0.4731809163931757,0.1655850149691105,0.06523777754046023,0.7744623059406877,0.052778780460357666,6
2,11,0.07232665666379035,0.18167969677597284,0.10755589441396296,0.05407668650150299,0.2934082879219204,0.13812991068698466,0.24894825206138194,0.7793848516885191,0.05057969153858721,6
0,0,0.03932416811585426,0.04650598601438105,0.07507713721133769,0.03843959444202483,0.17314518336206675,0.1276740545872599,0.040108716348186135,0.7763971844688058,0.06581586063839495,7
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3,2,0.041290765861049294,0.05244278907775879,0.06964360945858061,0.035316649824380875,0.1832309199962765,0.16052044206298888,0.05126144830137491,0.7774193435907364,0.04230147250927985,7
4,3,0.10741582163609564,0.151505014160648,0.17062738561071455,0.07583159231580794,0.11811161623336375,0.1615859419107437,0.35746663087047637,0.7766930034849793,0.13946012500673532,7
5,4,0.05825635138899088,0.09108540625311434,0.15567898843437433,0.03709926479496062,0.15328008774667978,0.11927866283804178,0.08404301502741873,0.7863242635503411,0.05885451124049723,7
6,5,0.039487734669819474,0.047265902161598206,0.045758756110444665,0.03539124527014792,0.07541198492981493,0.05489588365890086,0.0374764131847769,0.7687791818752885,0.04152674810029566,7
7,6,0.03965771780349314,0.05224031419493258,0.057390425354242325,0.03723458293825388,0.08250190317630768,0.05851444066502154,0.03878740803338587,0.7721007326617837,0.043578855926170945,7
8,7,0.03910660743713379,0.05488873366266489,0.05137205962091684,0.03411691286601126,0.1287449209485203,0.09716096892952919,0.040206564823165536,0.7706265805754811,0.04132798151113093,7
9,8,0.36983308964408934,0.2386868754401803,0.09458140120841563,0.1136447882745415,0.19842555024661124,0.18476250115782022,0.6893590486142784,0.778765314258635,0.17337383329868317,7
10,9,0.07805789355188608,0.34716003481298685,0.40047097229398787,0.06728805601596832,0.19270353042520583,0.12464985344558954,0.1082977952901274,0.7832963028922677,0.0928437712136656,7
1,10,0.05233801179565489,0.08730322495102882,0.07569719129242003,0.034580698469653726,0.4731809163931757,0.1655850149691105,0.06523777754046023,0.7713232769165188,0.052778780460357666,7
2,11,0.03185039758682251,0.03845754638314247,0.042088335612788796,0.03130808845162392,0.03784953150898218,0.0336954602971673,0.038057618075981736,0.7639969906304032,0.034580698469653726,7
0,0,0.037855468923226,0.034224096685647964,0.044449579203501344,0.038481488823890686,0.06483308249153197,0.08640384674072266,0.03744687978178263,0.7597882358822972,0.051545128459110856,8
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
3,2,0.039968268014490604,0.04466215614229441,0.06902486179023981,0.03448995784856379,0.07833951362408698,0.2524167010560632,0.04040261940099299,0.7677092412486672,0.04610539972782135,8
4,3,0.04057455831207335,0.03557520010508597,0.03484224178828299,0.035892486572265625,0.052568660117685795,0.051649109460413456,0.036612991243600845,0.7565463914070278,0.03962733689695597,8
5,4,0.03955447021871805,0.061504544923081994,0.08426433801651001,0.03709926479496062,0.07702962518669665,0.08107929513789713,0.048730077454820275,0.7863242635503411,0.0461578369140625,8
6,5,0.03890168759971857,0.03639725246466696,0.0396881103515625,0.036484637297689915,0.06399658531881869,0.053835668601095676,0.0374764131847769,0.7687791818752885,0.04152674810029566,8
7,6,0.04021268431097269,0.03928181738592684,0.06485639605671167,0.04014539555646479,0.07567200437188148,0.08575917780399323,0.03878740803338587,0.7721007326617837,0.046190625289455056,8
8,7,0.03917302028276026,0.03569041402079165,0.04428245150484145,0.03548891190439463,0.06687704101204872,0.05270869378000498,0.036612991243600845,0.7679231697693467,0.03793269768357277,8
9,8,0.2673030106816441,0.41946257115341723,0.48199645266868174,0.17206748598255217,0.2546139901969582,0.24166309484280646,0.6540459583047777,0.7739521155599505,0.15411758422851562,8
10,9,0.06331901089288294,0.2928960658609867,0.7135629653930664,0.12222671508789062,0.3379615491721779,0.21359020471572876,0.05130291357636452,0.7794656790792942,0.11016370356082916,8
1,10,0.04146458231844008,0.046631112694740295,0.06710610562004149,0.035150528186932206,0.10050920047797263,0.07336447038687766,0.0471134262625128,0.7744623059406877,0.04464925825595856,8
2,11,0.0366246709600091,0.06321922037750483,0.066475153202191,0.04590248712338507,0.204741888679564,0.09748466406017542,0.06102866027504206,0.7722616344690323,0.0467168225441128,8
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0,1,0.043438812950626016,0.03467155830003321,0.03323766961693764,0.0364263691008091,0.04193821013905108,0.050751421600580215,0.035523414611816406,0.7463350633624941,0.04698765370994806,9
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
1,3,0.13162980997003615,0.21391471871174872,0.05888412916101515,0.06442190054804087,0.09970777574926615,0.1558837539050728,0.4337336684111506,0.7678429430816323,0.07283640303649008,9
